Commodity_SCTG,FAF,value_fraction
05,532,0.0013897353805711243
05,531,0.02153476108576955
05,539,0.004173947696819817
05,540,0.0006529824073931806
05,551,0.009211151711766067
05,559,0.01335865597321822
05,560,0.0016253208548852062
06,11,0.0019821543182522907
06,12,0.0007464242481785644
06,19,0.004136983553682523
06,20,0.0005825148969033482
06,41,0.01103811711377385
06,42,0.0002975011301007954
06,49,0.0008528993296349963
06,50,0.018668336853500955
06,65,0.0018530478135609437
06,61,0.059848240114644013
06,63,0.008885730600814898
06,62,0.0060067726398159585
06,64,0.026992377337995994
06,69,0.011734408170913185
06,81,0.00976079745243796
06,89,0.0023813999292099583
06,91,0.004643117086866803
06,92,0.0049520791557999015
06,99,0.0012586570269547575
06,101,0.002062766368702042
06,109,0.0005724574368787458
06,111,0.0013707252814283142
06,121,0.004696597825760509
06,122,0.011997630632893096
06,123,0.007305548481687488
06,124,0.004493356763399365
06,129,0.011477338250938648
06,131,0.03185179657370469
06,132,0.0013220252213586023
06,139,0.006208960662263505
06,151,0.0016631517506951402
